make,model,manufactured,reg_date,type_of_vehicle,category,transmission,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,mileage,omv,arf,price,registration_year
land rover,range,2018.0,2018-03-08,suv,parf car,auto,280.0,2995.0,2.0,34270.0,48011,103323.0,96000.0,88906.0,132031.0,193788.0,2018
mercedes-benz,c200,2017.0,2017-12-28,luxury sedan,"parf car, premium ad car",auto,135.0,1991.0,2.0,21170.0,47002,45179.0,85680.0,40678.0,43950.0,96800.0,2017
honda,odyssey,2007.0,2007-09-19,mpv,"coe car, premium ad car, low mileage car",auto,118.0,2354.0,3.0,12520.0,50355,16003.0,138000.0,27994.0,30794.0,39800.0,2007
toyota,altis,2008.0,2008-12-15,mid-sized sedan,"coe car, premium ad car",auto,80.0,1598.0,3.0,10140.0,27571,12184.0,160000.0,16084.0,16084.0,44800.0,2008
lexus,gs,2006.0,2006-12-22,luxury sedan,"coe car, premium ad car",auto,183.0,2995.0,6.0,13690.0,48479,9138.0,183000.0,50414.0,55456.0,25800.0,2006
honda,s2000,2008.0,2008-11-06,sports car,"coe car, consignment car",manual,177.0,1997.0,6.0,40320.0,32121,13614.0,176000.0,38328.0,38328.0,170888.0,2008
lamborghini,huracan,2022.0,2022-05-13,sports car,"parf car, rare & exotic, premium ad car, low mileage car",auto,470.0,5204.0,1.0,137430.0,87000,483238.0,5400.0,327323.0,561182.0,1368000.0,2022
hyundai,avante,2009.0,2010-01-26,mid-sized sedan,"coe car, premium ad car",auto,89.0,1591.0,4.0,,16184,1481.0,187000.0,11422.0,11422.0,5350.0,2010
mercedes-benz,c200,2017.0,2017-11-28,luxury sedan,"parf car, premium ad car, low mileage car",auto,135.0,1991.0,1.0,22520.0,49000,49095.0,49930.0,41077.0,49508.0,102500.0,2017
mitsubishi,evolution,2008.0,2009-03-05,sports car,"coe car, premium ad car",auto,206.0,1998.0,4.0,27450.0,31933,14540.0,227124.0,44754.0,44754.0,125000.0,2009
mercedes-benz,c180,2010.0,2011-03-16,luxury sedan,"coe car, premium ad car",auto,115.0,1597.0,5.0,12970.0,39844,26734.0,180000.0,31893.0,31893.0,87000.0,2011
subaru,impreza,2007.0,2007-09-19,mid-sized sedan,"coe car, premium ad car",manual,70.0,1597.0,5.0,13130.0,44081,14372.0,147000.0,10074.0,11082.0,42800.0,2007
mitsubishi,canter,2019.0,2019-05-31,truck,-,manual,,2998.0,1.0,14080.0,23280,11544.0,62000.0,29628.0,1482.0,69800.0,2019
mercedes-benz,e200,2017.0,2017-12-04,luxury sedan,"parf car, premium ad car",auto,110.0,1950.0,2.0,23930.0,57501,46976.0,100000.0,46134.0,41588.0,103800.0,2017
