make,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,estimated_price,registration_year
land rover,2018.0,2018-03-08,suv,parf car,auto,1884.0,280.0,2995.0,2.0,34270.0,48011,2380.0,103323.0,96000.0,88906.0,132031.0,193788.0,371888,2018
mercedes-benz,2017.0,2017-12-28,luxury sedan,"parf car, premium ad car",auto,1465.0,135.0,1991.0,2.0,21170.0,47002,1202.0,45179.0,85680.0,40678.0,43950.0,96800.0,208000,2017
honda,2007.0,2007-09-19,mpv,"coe car, premium ad car, low mileage car",auto,1648.0,118.0,2354.0,3.0,12520.0,50355,2442.0,16003.0,138000.0,27994.0,30794.0,39800.0,155000,2007
toyota,2008.0,2008-12-15,mid-sized sedan,"coe car, premium ad car",auto,1195.0,80.0,1598.0,3.0,10140.0,27571,1113.0,12184.0,160000.0,16084.0,16084.0,44800.0,151000,2008
lexus,2006.0,2006-12-22,luxury sedan,"coe car, premium ad car",auto,1660.0,183.0,2995.0,6.0,13690.0,48479,3570.0,9138.0,183000.0,50414.0,55456.0,25800.0,105000,2006
honda,2008.0,2008-11-06,sports car,"coe car, consignment car",manual,1270.0,177.0,1997.0,6.0,40320.0,32121,1815.0,13614.0,176000.0,38328.0,38328.0,170888.0,78000,2008
lamborghini,2022.0,2022-05-13,sports car,"parf car, rare & exotic, premium ad car, low mileage car",auto,1450.0,470.0,5204.0,1.0,137430.0,87000,5834.0,483238.0,5400.0,327323.0,561182.0,1368000.0,1450000,2022
hyundai,2009.0,2010-01-26,mid-sized sedan,"coe car, premium ad car",auto,1264.0,89.0,1591.0,4.0,,16184,1107.0,1481.0,187000.0,11422.0,11422.0,5350.0,104000,2010
mercedes-benz,2017.0,2017-11-28,luxury sedan,"parf car, premium ad car, low mileage car",auto,1465.0,135.0,1991.0,1.0,22520.0,49000,1202.0,49095.0,49930.0,41077.0,49508.0,102500.0,200000,2017
mitsubishi,2008.0,2009-03-05,sports car,"coe car, premium ad car",auto,1550.0,206.0,1998.0,4.0,27450.0,31933,1815.0,14540.0,227124.0,44754.0,44754.0,125000.0,77000,2009
